NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
1.         ,Construction of 3-Storey 18 unit Classroom Block with ancillary facilities at Salvation Compound (Block B),Mamprobi,Hightrust Co. Ltd,Metro Works Department,29/5/2014,30/11/2015,"1,815,557.63",UDG 2,Completed,,,,,,,,,,,,,,,,
2.         ,Construction of 3-Storey 18-Unit Classroom Block with ancillary facilities at Abavana Cluster Compound,Kotobabi,Snavec Reg. Company Gh. Ltd.,Metro Works Department,16/01/15,"Friday, October 02, 2015","2,607,677.36",UDG 3,Completed,,,,,,,,,,,,,,,,
3.         ,Construction of 3 Storey 18-Unit Classroom block with ancillary facilities at Zamrama Line Cluster,Dansoman,Thywill Business,Metro Works Department,"Monday, May 14, 2029","Saturday, November 15, 1930","1,492,256.20",UDG 2,Completed,,,,,,,,,,,,,,,,
4.         ,Construction of 3 Storey 18-Unit Classroom block with ancillary facilities at Okpoti Compound,Dansoman,Samaward Ghana Limited,Metro Works Department,"Friday, November 11, 2022",Nov. 12,"814,823.48",AMA/USAID,Completed,,,,,,,,,,,,,,,,
5.         ,"Construction of 3-Storey    (18) Unit Classroom Block with Disability Access, Kindergarten  Block and Ancillary facilities for Gbegbeyise ''A & B'' Junior High School",Dansoman Gbegbeyise,Rockeverest Trading & Construction,Metro Works Department,Aug. 2014,"Monday, September 15, 1930","2,538,529.67",AMA/USAID,Completed,,,,,,,,,,,,,,,,
6.         ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for Okpoti Cluster of Schools.,Dansoman-Accra,China Gansi International Corporation for Economic and Technical Co-operation,Metro Works Department,"Friday, December 12, 2014","Jan, 2013",USD 7.5M,AMA/CHINA AID,Completed,,,,,,,,,,,,,,,,
7.         ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for New Century Career Training Institute,Dansoman-Accra,China Gansi International Corporation for Economic and Technical Co-operation,Metro Works Department,"Friday, December 12, 2014","Jan, 2013",USD 7.5M,CHINA AID,Completed,,,,,,,,,,,,,,,,
8.         ,Construction of 3-Storey 18 unit Classroom Block with ancillary facilities at Salvation Compound (Block A),Mamprobi,Lord Grand Central Limited,Metro Works Department,"Thursday, June 10, 2010","Oct, 2011","651,338.98",IGF,Completed,,,,,,,,,,,,,,,,
9.         ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for Salleria Cluster of Schools (Block A),Darkuman-Kokompe,Phenopia Limited,Metro Works Department,"Friday, January 15, 2016","Saturday, January 16, 2027","2,796,170.89",UDG 3,Completed,,,,,,,,,,,,,,,,
10.      ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for Mamprobi One (M1) Socco Cluster,Mamprobi,Richu Architectural & Const Limited,Metro Works Department,"Thursday, June 10, 2010","Oct, 2012","651,338.90",IGF,Completed,,,,,,,,,,,,,,,,
