,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
168,168,169.   ,Construction of Borehole at Salvation Army School Compound – Millennium School Complex Block 2  ,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
169,169,170.   ,Construction of Borehole at Salvation Army Compound – Millennium School Building (President Obama Centre) start here,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
170,170,171.   ,Construction of Borehole at ASIP Toilet – Kaneshie Anglican Cluster of Schools,Okaikoi South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
171,171,172.   ,Construction of Borehole at ASIP Toilet – Kingsway Cluster of Schools,Osu Klottey,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
172,172,173.   ,Construction of Borehole at ASIP Toilet- Salvation Army School Compound,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),completed
173,173,174.   ,Construction of Borehole at A.M.E Zion Basic Schools,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
174,174,175.   ,Construction of Borehole at Millennium School Complex Block Socco Compound,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
175,175,176.   ,Construction of Borehole at Lartebiokorshie “1” Cluster of Schools,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
176,176,177.   ,Construction of Borehole at St. Mary’s R/C Basic School,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
177,177,178.   ,Construction of Borehole at Abavana Cluster of Schools – AMA/ASIP Toilet Block,Ayawaso Central,-,-,-,-,"13,200.00",ASIP (AfDB),Completed
178,178,179.   ,Construction of Borehole at Accra High Pumping Station,Osu Klottey,-,-,-,-,"13,200.00",ASIP (AfDB),Completed
179,179,180.   ,Construction of Borehole at Maamobi Prison School (Boster Institute),Ayawaso West,-,-,-,-,"13,200.00",ASIP (AfDB),Completed
180,180,181.   ,Construction of Borehole at St. Joseph’s R/C Basic,Osu Klottey,-,-,-,-,"12,957.28",ASIP (AfDB),Completed
