,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
5,5,6.         ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for Okpoti Cluster of Schools.,Dansoman-Accra,China Gansi International Corporation for Economic and Technical Co-operation,Metro Works Department,"Friday, December 12, 2014","Jan, 2013",USD 7.5M,AMA/CHINA AID,Completed
6,6,7.         ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for New Century Career Training Institute,Dansoman-Accra,China Gansi International Corporation for Economic and Technical Co-operation,Metro Works Department,"Friday, December 12, 2014","Jan, 2013",USD 7.5M,CHINA AID,Completed
8,8,9.         ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for Salleria Cluster of Schools (Block A),Darkuman-Kokompe,Phenopia Limited,Metro Works Department,"Friday, January 15, 2016","Saturday, January 16, 2027","2,796,170.89",UDG 3,Completed
9,9,10.      ,Construction of 3-Storey 18-Unit classroom block with ancillary facilities for Mamprobi One (M1) Socco Cluster,Mamprobi,Richu Architectural & Const Limited,Metro Works Department,"Thursday, June 10, 2010","Oct, 2012","651,338.90",IGF,Completed
10,10,11.      ,Construction of 6- unit classroom block with ancillary facilities at Kwashieman Cluster of Schools in the Accra Metropolitan Assembly,Kawshieman,Blematessa Company Limited,Metro Works Department,"Wednesday, January 08, 2003","Wednesday, January 08, 2003","150,415.70",MOE/GETFUND,Completed
13,13,14.      ,Construction of 3-Storey 9-Unit Classroom Block Pig Farm 1&2 Primary (Phase 1-6 unit classroom block),Pigfarm,Contelec Enterprise,Metro Works Department,"Monday, January 11, 2021",Sept. 2012,"422,356.14",GETFUND/SUTEmIP,Completed
16,16,17.      ,"Construction of three storey,18-Unit classroom block with ancillary facilities for cable and wireless basic school(AMA/MCI/IGF/2012/01)",Bubuashie,M-Mood Limited,Metro Works Department,"Friday, November 12, 2021",15 Months,"1,164,467.56",IGF,Completed
17,17,18.      ,"Construction of 2-Storey 12-unit classroom block (Phase 1:6-unit classroom) with ancillary facilities for Osu Salem No. 1 Primary at Osu, Accra",Osu,Proko-Ghana Limited,Metro Works Department,"Monday, August 12, 2024",8 Months,"406, 370. 36",GETFUND/SUTEmIP,Completed
19,19,20.      ,"3-Unit temporary classroom block and minor renovation of washrooms at James Town Methodist school, Accra",Jamestown,Messrs  Amethom Company Ltd,Metro Works Department,"Saturday, May 14, 2022",4 Weeks,"15,965.52",IGF,Completed
20,20,21.      ,Re-roofing of collapsed roofs of 6-unit classroom block for Kokomlemle,Kokomlemle,Messrs Janicom Limited,Metro Works Department,"Wednesday, October 13, 2021",12 Months,"48,960.48",IGF,Completed
