,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
243,243,244.   ,Gravelling of Works along IPS/Mempeasem link road-Ayawaso West Wuogon (0+000-0+200),IPS/Mempeasem link road-Ayawaso West Wuogon,Messrs Rozarre Limited,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"20,305.00",Road Fund,Completed
266,266,267.   ,Upgrading of Spintex road and East Legon Area Roads and Culverts on Spintex Road,Ayawaso West,M/S Ussauya (Gh) Ltd,Metro Roads Department,"Thursday, August 09, 2018","Thursday, July 12, 2018","38,429,462.33",Road Fund,Completed
345,345,346.   ,"Routine maintenance along Abossey Okai road: 800M X 0.9M X 0.7M,800M X0.6M X 0.6M(RHS)",Accra,Messrs Quarkor Limited,Metro Roads Department,-,3 Month,"6,817.00",IGF,Completed
432,432,433.   ,Surfacing works along Bonsu road- Accra Newtown (Chainage 0+300-0+430),Alajo,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,599.20",Road Fund,Completed
433,433,434.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+000-0+250)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,825.00",Road Fund,Completed
434,434,435.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+250-0+510)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"41,909.00",Road Fund,Completed
435,435,436.   ,"Routine maintenance works on Cleland street, high street & 28th February road for the month of November",Accra,Messrs Salleydeen Co. Ltd,Metro Roads Department,"Friday, February 14, 2020",6 Months,"4,880.00",Road Fund,Completed
444,444,445.   ,"Routine maintenance,Abossey Okai road:800M X 0.9M X 0.7M , 800M X 0.6M X 0.6M for the month of March(RHS)",Accra,Messrs Dantoz Ent.,Metro Roads Department,"Monday, July 14, 1930",3 Months,"6,817.00",Road Fund,Completed
445,445,446.   ,"Routine maintenance, Abossey Okai road:800M X 0.9M X 0.7M , 800M X 0.6M X 0.6M (RHS) for the month of October, 2014",Accra,Messrs Dantoz Ent.,Metro Roads Department,-,-,"6,817.00",Road Fund,Completed
454,454,455.   ,Gravelling of IPS Extension road link 4 and 5 Mempeasem (CH 500),Ayawaso     west,Messrs Zaprozhe company Ltd,Metro Roads Department,"Friday, November 13, 2026",5 Months,"49,127.60",Road Fund,Completed
458,458,459.   ,Construction of concrete sped hump at Abossey Okai roads,Abossey Okai area and Old Winneba,Messrs Dantoz Ent.,Metro Roads Department,"Monday, February 14, 2028",4 Months,"49,168.08",Road Fund,Completed
459,459,460.   ,Gravelling works on Ontinshie road (CH 0+000-0+300) Ayawaso West Wuogon,Ayawaso West,Messrs Henkoq Ventures,Metro Roads Department,-,-,"49,715.00",Road Fund,Completed
461,461,462.   ,Surfacing works on Papao road-west legon (CH 0+000-0+200),West Legon,Messrs Henkoq Ventures,Metro Roads Department,-,-,"49,503.80",Road Fund,Completed
462,462,463.   ,Surfacing works on Papao road-west legon (CH 0+200-0+400),West Legon,Messrs Zaprozhe company Ltd,Metro Roads Department,-,-,"49,503.80",Road Fund,Completed
463,463,464.   ,Gravelling works on Papao road-west legon (0.5KM),West Legon,Messrs Zaprozhe company Ltd,Metro Roads Department,"Sunday, April 14, 2024",5 Months,"49,920.00",Road Fund,Completed
467,467,468.   ,Surfacing works on Papao road-west legon (CH 0+400-0+500),West Legon,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"28,739.40",Road Fund,Completed
495,495,496.   ,Resealing of selected roads in Accra,Metro wide,Messrs Core Const. Ltd,Metro Roads Department,"Wednesday, November 11, 2015","Monday, October 11, 2021","1,525,865.50",GOG,Completed
498,498,499.   ,Rehabilitation of Boundary Road Motorway slip road and Gulf House to North Dzorwulu,Ayawaso West,Messrs G.S International Developer GH Ltd,Metro Roads Department,"Thursday, December 10, 1931","Sunday, March 11, 2001","38,795.111.85",GOG,Completed
