,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
120,120,121.   ,Construction of 20-Seater toilet facility at Kaneshie ‘1’ Cluster of Schools,Okaikoi South,Messrs Malin Investment,ASIP,-,-,"243,091.05",ASIP (AfDB),completed
121,121,122.   ,Construction of 12 No. & 3 No. WC toilets facilities for the newly created La Dadekotpon Municipal Assembly,LA,Messrs N-Plan Limited,ASIP,-,-,"127,945.03",ASIP (AfDB),Completed
148,148,149.   ,Construction of 20-Seater toilet facility at Ministry of Health Basic School,Ablekuma South,Faps Construction Work Ltd,-,-,-,-,ASIP (AfDB),On-going
149,149,150.   ,Construction of 20-Seater toilet facility at Star of the Sea R/C Basic School,Ablekuma South,Faps Construction Work Ltd,-,-,-,-,ASIP (AfDB),On-going
150,150,151.   ,Construction of 20-Seater toilet facility at Mataheko R/C Cluster of Schools,Ablekuma Central,Jephi Ltd.,-,-,-,-,ASIP (AfDB),On-going
151,151,152.   ,Construction of 20-Seater toilet facility at JT Cluster of Schools,Ablekuma Central,Jephi Ltd.,-,-,-,-,ASIP (AfDB),On-going
152,152,153.   ,Construction of 20-Seater toilet facility at St. Mary’s Basic School,Ablekuma South,Cravers (GH) Ltd,-,-,-,-,ASIP (AfDB),On-going
153,153,154.   ,Construction of 20-Seater toilet facility at Lartebiokorshie A&B JHS,Ablekuma Central,Cravers (GH) Ltd,-,-,-,-,ASIP (AfDB),On-going
154,154,155.   ,Construction of 20-Seater toilet facility at Kaneshie Anglican Cluster of Schools,Okaikoi South,Malin Investment,-,-,-,-,ASIP (AfDB),On-going
155,155,156.   ,Construction of 20-Seater toilet facility at Kaneshie ‘1’ Cluster of Schools,Okaikoi South,Malin Investment,-,-,-,-,ASIP (AfDB),On-going
156,156,157.   ,Construction of 20-Seater toilet facility at Apenkwa Presby Cluster of Schools,Okaikoi North,Magad Company Ltd,-,-,-,-,ASIP (AfDB),On-going
157,157,158.   ,Construction of 20-Seater toilet facility at A.M.E Zion Cluster of Schools,Ablekuma Central,Magad Company Ltd,-,-,-,-,ASIP (AfDB),On-going
158,158,159.   ,Construction of 20-Seater toilet facility at La Bawaleshie Presby Cluster of Schools,Ayawaso West,E.D. John Construction,-,-,-,-,ASIP (AfDB),On-going
159,159,160.   ,Construction of 10-Seater toilet facility at Dzorwulu Bethany Methodist Basic School,Ayawaso West,E.D. John Construction,-,-,-,-,ASIP (AfDB),On-going
160,160,161.   ,Construction of 20-Seater toilet facility at Pig Farm Prim. & JHS,Ayawaso Central,Metropolitan Property Holdings,-,-,-,-,ASIP (AfDB),On-going
161,161,162.   ,Construction of 10-Seater toilet facility at Abavana Down Cluster of Schools,Ayawaso Central,Metropolitan Property Holdings,-,-,-,-,ASIP (AfDB),On-going
162,162,163.   ,Construction of 20-Seater toilet facility at Institute of Islamic Studies Basic School,Ayawaso East,Rock Everest Trading and Construction,-,-,-,-,ASIP (AfDB),On-going
163,163,164.   ,Construction of 20-Seater toilet facility at Kanda Cluster of Schools,Ayawaso East,Rock Everest Trading and Construction,-,-,-,-,ASIP (AfDB),On-going
164,164,165.   ,Construction of 20-Seater toilet facility at Teacher Mota/Osu Presby 2 Boys,Osu Klottey,Global N S Ltd,-,-,-,-,ASIP (AfDB),On-going
165,165,166.   ,Construction of 20-Seater toilet facility at St. Joseph’s R/C Basic School,Osu Klottey,Global N S Ltd,-,-,-,-,ASIP (AfDB),On-going
166,166,167.   ,Construction of 20-Seater toilet facility at James Town Methodist Cluster of Schools,Ashiedu Keteke,Biz 360 Limited,-,-,-,-,ASIP (AfDB),On-going
167,167,168.   ,Construction of 20-Seater toilet facility at Private Odartey Lamptey Cluster,Ashiedu Keteke,Biz 360 Limited,-,-,-,-,ASIP (AfDB),On-going
,,,,,,,,,,,
,,,,,,,,,"371,036.08",,
